versionName numberOfNodes numberOfEdges numberOfPaths avgDegree clusteringCoefficient diameter
junit-3.7 196 261 646 1.33 0.41 6 
junit-3.8 203 273 720 1.34 0.44 9 
junit-3.8.1 203 273 720 1.34 0.44 9 
junit-3.8.2 257 332 927 1.29 0.45 9 
junit-4.0 211 283 826 1.34 0.41 9 
junit-4.1 213 283 819 1.33 0.41 9 
junit-4.2 217 286 823 1.32 0.4 9 
junit-4.3 370 573 1828 1.55 0.28 9 
junit-4.3.1 222 292 844 1.32 0.4 9 
junit-4.4 273 362 974 1.33 0.45 9 
junit-4.5 361 490 1104 1.36 0.41 9 
junit-4.6 393 556 1251 1.41 0.42 9 
junit-4.7 414 573 1193 1.38 0.39 9 
junit-4.8 414 576 1193 1.39 0.39 9 
junit-4.8.1 414 577 1193 1.39 0.39 9 
junit-4.8.2 417 579 1199 1.39 0.4 9 
junit-4.9 439 611 1266 1.39 0.39 9 
junit-4.10 449 627 1288 1.4 0.39 9 
junit-4.11 472 658 1312 1.39 0.37 9 
junit-4.12 534 751 1423 1.41 0.34 9
