[118, 192]:2
[161, 142]:1
[14, 107]:2
[112, 212]:1
[169, 89]:1
[62, 111]:3
[105, 9]:4
[210, 83]:3
[123, 103]:1
[170, 46]:4
[165, 166]:1
[22, 63]:1
[63, 133]:2
[14, 15]:1
[145, 15]:1
[96, 177]:1
[53, 18]:2
[105, 133]:3
[93, 61]:4
[170, 117]:2
[159, 9]:4
[22, 59]:3
[22, 23]:1
[189, 115]:3
[53, 167]:3
[78, 131]:1
[170, 160]:3
[105, 8]:3
[2, 90]:2
[112, 30]:1
[22, 62]:5
[170, 45]:5
[52, 133]:1
[24, 87]:2
[93, 60]:4
[159, 8]:3
[24, 51]:1
[136, 196]:2
[98, 116]:1
[145, 107]:2
[41, 45]:1
[149, 28]:3
[112, 182]:1
[146, 46]:1
[52, 9]:2
[25, 83]:2
[112, 142]:1
[159, 187]:2
[24, 90]:2
[22, 61]:4
[71, 90]:2
[179, 180]:1
[31, 11]:2
[47, 48]:1
[63, 42]:6
[149, 174]:2
[159, 111]:8
[93, 133]:3
[161, 54]:1
[39, 83]:2
[14, 212]:2
[63, 38]:6
[52, 59]:1
[22, 137]:4
[27, 28]:1
[149, 27]:2
[146, 45]:2
[82, 25]:2
[125, 156]:1
[62, 45]:2
[203, 176]:1
[52, 8]:1
[29, 142]:1
[134, 135]:1
[22, 60]:4
[49, 76]:1
[63, 41]:5
[52, 62]:3
[159, 146]:2
[22, 176]:2
[31, 195]:2
[105, 52]:2
[190, 19]:2
[59, 62]:2
[132, 72]:1
[116, 140]:1
[63, 37]:5
[12, 199]:1
[159, 52]:2
[73, 74]:1
[102, 30]:3
[82, 24]:1
[18, 167]:1
[102, 26]:1
[51, 25]:2
[170, 42]:8
[189, 25]:3
[14, 182]:2
[52, 61]:2
[96, 75]:1
[190, 18]:1
[33, 34]:1
[59, 61]:1
[129, 85]:1
[170, 38]:8
[63, 36]:3
[14, 142]:2
[24, 115]:1
[6, 7]:1
[41, 42]:1
[133, 111]:5
[39, 1]:1
[208, 45]:1
[170, 188]:2
[202, 81]:1
[51, 24]:1
[147, 75]:2
[31, 44]:3
[170, 41]:7
[189, 24]:2
[39, 181]:1
[52, 60]:2
[24, 83]:2
[59, 60]:1
[170, 37]:7
[102, 158]:3
[145, 139]:1
[16, 121]:1
[63, 35]:2
[29, 54]:1
[105, 46]:3
[93, 52]:2
[78, 198]:1
[39, 40]:1
[62, 42]:2
[159, 46]:3
[189, 99]:1
[62, 38]:2
[98, 19]:1
[170, 187]:3
[31, 43]:2
[133, 62]:2
[61, 45]:1
[8, 45]:1
[170, 111]:9
[170, 36]:5
[105, 45]:4
[22, 133]:3
[62, 41]:1
[14, 136]:1
[42, 111]:1
[159, 45]:4
[18, 19]:1
[127, 128]:1
[62, 37]:1
[51, 141]:2
[102, 196]:3
[63, 162]:3
[136, 107]:2
[133, 61]:1
[171, 172]:1
[53, 11]:3
[105, 162]:4
[31, 191]:2
[24, 81]:2
[170, 146]:3
[147, 69]:4
[22, 52]:2
[170, 35]:4
[197, 205]:1
[84, 85]:1
[26, 196]:2
[0, 11]:1
[37, 45]:1
[93, 46]:3
[1, 83]:1
[64, 65]:1
[39, 34]:1
[147, 209]:1
[147, 72]:4
[13, 90]:3
[16, 194]:1
[52, 162]:2
[82, 95]:2
[63, 68]:3
[154, 155]:1
[159, 137]:4
[96, 67]:1
[53, 195]:3
[113, 114]:1
[15, 196]:1
[170, 9]:2
[63, 117]:3
[46, 45]:1
[93, 45]:4
[105, 117]:4
[21, 54]:1
[100, 28]:2
[48, 164]:1
[31, 76]:2
[159, 176]:2
[12, 13]:1
[61, 42]:3
[93, 162]:4
[151, 152]:1
[147, 67]:2
[80, 65]:1
[20, 21]:1
[61, 38]:3
[110, 111]:1
[105, 42]:7
[22, 46]:3
[170, 8]:4
[51, 95]:2
[52, 117]:2
[159, 42]:7
[79, 28]:2
[105, 38]:7
[189, 95]:3
[4, 5]:1
[100, 27]:1
[13, 175]:1
[61, 111]:4
[120, 90]:1
[159, 38]:7
[147, 70]:5
[47, 76]:1
[61, 41]:2
[53, 44]:4
[77, 78]:1
[170, 68]:1
[189, 141]:3
[99, 11]:1
[61, 37]:2
[105, 41]:6
[22, 45]:4
[57, 58]:1
[14, 168]:1
[77, 131]:2
[93, 9]:4
[159, 41]:6
[79, 27]:1
[105, 37]:6
[93, 117]:4
[37, 38]:1
[39, 128]:1
[133, 137]:1
[159, 37]:6
[102, 15]:2
[49, 184]:1
[53, 43]:3
[190, 11]:2
[123, 124]:1
[6, 11]:1
[0, 83]:2
[59, 117]:1
[78, 109]:1
[47, 164]:2
[12, 90]:4
[102, 112]:2
[93, 8]:3
[190, 167]:2
[18, 195]:1
[147, 177]:2
[93, 42]:7
[105, 36]:4
[108, 131]:1
[159, 36]:4
[93, 38]:7
[122, 101]:1
[102, 14]:1
[32, 140]:1
[22, 9]:4
[92, 45]:1
[79, 185]:1
[20, 54]:2
[159, 133]:3
